#Format version: 1.0
time[us],accX[g],accY[g],accZ[g],
663552049,0.334,0.031,-0.993,
663590574,0.331,0.022,-0.928,
663629098,0.356,0,-0.949,
663667622,0.363,0.012,-0.776,
663706146,0.341,0.043,-0.727,
663744671,0.352,0.137,-1.1,
663783195,0.295,0.108,-1.007,
663821719,0.28,0.071,-1.056,
663860243,0.227,0.077,-0.964,
663898768,0.171,0.043,-0.906,
663937292,0.135,0.1,-0.989,
663975816,0.043,0.093,-0.901,
664014340,0.035,0.086,-1.072,
664052865,-0.03,0.062,-0.977,
664091388,-0.03,0.046,-1.106,
664129913,-0.081,0.043,-0.954,
664168437,-0.12,0.004,-0.912,
664206961,-0.113,0.056,-1.132,
664245485,-0.189,0.061,-0.957,
664284009,-0.176,0.065,-1.124,
664322534,-0.162,0.028,-1.049,
664361058,-0.099,0.007,-1.083,
664399582,-0.122,-0.028,-0.977,
664438106,-0.067,0.011,-1.071,
664476631,-0.017,0.027,-1.086,
664515155,0.042,-0.011,-0.918,
664553679,0.186,0.008,-1.123,
664592204,0.175,-0.046,-0.873,
664630728,0.242,-0.02,-0.98,
664669252,0.267,0.019,-1.01,
664707776,0.284,0.038,-0.921,
664746300,0.345,0.02,-1.007,
664784825,0.317,0.006,-0.762,
664823349,0.319,-0.024,-0.931,
664861873,0.268,-0.005,-1.043,
664900398,0.201,-0.036,-0.909,
664938922,0.165,0.01,-1.068,
664977445,0.069,0.028,-0.904,
665015970,0.052,0.033,-1.124,
665054494,-0.011,0,-1.023,
665093018,-0.043,0.049,-1.05,
665131542,-0.085,0.003,-0.97,
665170067,-0.103,-0.014,-1.013,
665208591,-0.131,-0.01,-1.002,
665247115,-0.147,0.027,-1.037,
665285639,-0.16,0.045,-0.985,
665324164,-0.161,0.023,-1.069,
665362687,-0.132,0.039,-1.078,
665401212,-0.088,0.029,-1.037,
665439736,-0.031,-0.032,-1.035,
665478260,-0.033,-0.056,-0.891,
665516785,0.027,0.001,-1.051,
665555309,0.033,0,-1.035,
665593833,0.063,0.023,-1.027,
665632357,0.114,0.02,-1.085,
665670881,0.131,-0.021,-0.942,
665709406,0.178,-0.018,-0.996,
665747930,0.191,0.034,-1.016,
665786454,0.247,-0.047,-1.031,
665824979,0.27,-0.028,-1.032,
665863502,0.292,-0.016,-0.956,
665902027,0.328,-0.029,-0.963,
665940551,0.337,-0.022,-0.893,
665979075,0.328,-0.04,-0.722,
666017599,0.315,-0.014,-0.929,
666056124,0.226,0.047,-0.945,
666094648,0.177,0.003,-1.007,
666133172,0.159,0.011,-1.11,
666171696,0.088,-0.023,-0.933,
666210221,0.058,-0.021,-1.048,
666248745,-0.026,0.028,-1.007,
666287269,-0.069,0.037,-1.041,
666325793,-0.108,0.012,-1.027,
666364317,-0.179,0.015,-0.914,
666402842,-0.207,0.023,-1.051,
666441366,-0.263,0.023,-0.921,
666479890,-0.287,0.005,-0.995,
